Unique Id,Code,Origin,Complexity,Severity,Category,Description,Message,InputType,OutputType,File,Line,Column,Lines,SourceCode
34,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSClass -> TSImplementationModule"" does not have any transformation rule to apply.",CSClass,TSImplementationModule,F:\HelloWorldVBTest\TestProject\MyProject\MyApplication.cs,24,9,32,"""
        //remove //NOTE: This file is auto-generated; do not modify it directly.  To make change,
        //remove // or if you encounter build errors in this file, go to the Project Designer
        //remove // (go to Project Properties or double-click the My Project node in
        //remove // Solution Explorer), and make changes on the Application tab.
        //remove //
        internal partial class MyApplication : WindowsFormsApplicationBase
        {

            //remove [glo"""
36,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSParam -> CSParam"" does not have any transformation rule to apply.",CSParam,CSParam,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,8,47,1,object sender
38,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSParam,CSParam,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,8,47,1,object sender
40,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSTypeRef -> CSTypeRef"" does not have any transformation rule to apply.",CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,8,62,1,EventArgs
42,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,8,62,1,EventArgs
44,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSParam -> CSParam"" does not have any transformation rule to apply.",CSParam,CSParam,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,8,62,1,EventArgs e
46,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSParam,CSParam,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,8,62,1,EventArgs e
49,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSTypeRef -> CSTypeRef"" does not have any transformation rule to apply.",CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,7,12,1,AssemblyTitle
51,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,7,12,1,AssemblyTitle
53,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSParam -> CSParam"" does not have any transformation rule to apply.",CSParam,CSParam,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,10,46,1,object sender
55,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSParam,CSParam,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,10,46,1,object sender
57,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSTypeRef -> CSTypeRef"" does not have any transformation rule to apply.",CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,10,61,1,StartupEventArgs
59,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,10,61,1,StartupEventArgs
61,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSParam -> CSParam"" does not have any transformation rule to apply.",CSParam,CSParam,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,10,61,1,StartupEventArgs e
63,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSParam,CSParam,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,10,61,1,StartupEventArgs e
65,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSParam -> CSParam"" does not have any transformation rule to apply.",CSParam,CSParam,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,12,55,1,object sender
67,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSParam,CSParam,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,12,55,1,object sender
69,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSTypeRef -> CSTypeRef"" does not have any transformation rule to apply.",CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,12,70,1,NetworkAvailableEventArgs
71,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,12,70,1,NetworkAvailableEventArgs
73,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSParam -> CSParam"" does not have any transformation rule to apply.",CSParam,CSParam,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,12,70,1,NetworkAvailableEventArgs e
75,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSParam,CSParam,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,12,70,1,NetworkAvailableEventArgs e
77,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSParam -> CSParam"" does not have any transformation rule to apply.",CSParam,CSParam,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,14,58,1,object sender
79,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSParam,CSParam,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,14,58,1,object sender
81,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSTypeRef -> CSTypeRef"" does not have any transformation rule to apply.",CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,14,73,1,StartupNextInstanceEventArgs
83,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,14,73,1,StartupNextInstanceEventArgs
85,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSParam -> CSParam"" does not have any transformation rule to apply.",CSParam,CSParam,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,14,73,1,StartupNextInstanceEventArgs e
87,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSParam,CSParam,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,14,73,1,StartupNextInstanceEventArgs e
89,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSTypeRef -> CSTypeRef"" does not have any transformation rule to apply.",CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,17,39,1,ApplicationContext
91,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,17,39,1,ApplicationContext
93,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSLiteral -> CSExpr"" does not have any transformation rule to apply.",CSLiteral,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,7,26,1,"""MyHelpersNet461"""
95,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSLiteral,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,7,26,1,"""MyHelpersNet461"""
97,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSTypeRef -> CSTypeRef"" does not have any transformation rule to apply.",CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,8,12,1,AssemblyDescription
99,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,8,12,1,AssemblyDescription
101,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSLiteral -> CSExpr"" does not have any transformation rule to apply.",CSLiteral,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,8,32,1,""""""
103,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSLiteral,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,8,32,1,""""""
105,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSTypeRef -> CSTypeRef"" does not have any transformation rule to apply.",CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,9,12,1,AssemblyConfiguration
107,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,9,12,1,AssemblyConfiguration
109,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSLiteral -> CSExpr"" does not have any transformation rule to apply.",CSLiteral,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,9,34,1,""""""
111,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSLiteral,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,9,34,1,""""""
113,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSTypeRef -> CSTypeRef"" does not have any transformation rule to apply.",CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,10,12,1,AssemblyCompany
115,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,10,12,1,AssemblyCompany
117,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSLiteral -> CSExpr"" does not have any transformation rule to apply.",CSLiteral,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,10,28,1,""""""
119,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSLiteral,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,10,28,1,""""""
121,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSTypeRef -> CSTypeRef"" does not have any transformation rule to apply.",CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,11,12,1,AssemblyProduct
123,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,11,12,1,AssemblyProduct
125,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSLiteral -> CSExpr"" does not have any transformation rule to apply.",CSLiteral,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,11,28,1,""""""
127,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSLiteral,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,11,28,1,""""""
129,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSTypeRef -> CSTypeRef"" does not have any transformation rule to apply.",CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,12,12,1,AssemblyCopyright
131,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,12,12,1,AssemblyCopyright
133,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSLiteral -> CSExpr"" does not have any transformation rule to apply.",CSLiteral,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,12,30,1,""""""
135,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSLiteral,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,12,30,1,""""""
137,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSTypeRef -> CSTypeRef"" does not have any transformation rule to apply.",CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,13,12,1,AssemblyTrademark
139,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,13,12,1,AssemblyTrademark
141,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSLiteral -> CSExpr"" does not have any transformation rule to apply.",CSLiteral,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,13,30,1,""""""
143,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSLiteral,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,13,30,1,""""""
145,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSTypeRef -> CSTypeRef"" does not have any transformation rule to apply.",CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,14,12,1,AssemblyCulture
147,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,14,12,1,AssemblyCulture
149,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSLiteral -> CSExpr"" does not have any transformation rule to apply.",CSLiteral,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,14,28,1,""""""
151,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSLiteral,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,14,28,1,""""""
153,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSTypeRef -> CSTypeRef"" does not have any transformation rule to apply.",CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,20,12,1,AssemblyVersion
155,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,20,12,1,AssemblyVersion
157,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSLiteral -> CSExpr"" does not have any transformation rule to apply.",CSLiteral,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,20,28,1,"""1.0.*"""
159,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSLiteral,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\Properties\AssemblyInfo.cs,20,28,1,"""1.0.*"""
162,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSParam -> CSParam"" does not have any transformation rule to apply.",CSParam,CSParam,F:\HelloWorldVBTest\TestProject\Form1.cs,19,36,1,dynamic sender
164,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSParam,CSParam,F:\HelloWorldVBTest\TestProject\Form1.cs,19,36,1,dynamic sender
166,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSTypeRef -> CSTypeRef"" does not have any transformation rule to apply.",CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\TestProject\Form1.cs,19,52,1,EventArgs
168,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\TestProject\Form1.cs,19,52,1,EventArgs
170,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSParam -> CSParam"" does not have any transformation rule to apply.",CSParam,CSParam,F:\HelloWorldVBTest\TestProject\Form1.cs,19,52,1,EventArgs e
172,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSParam,CSParam,F:\HelloWorldVBTest\TestProject\Form1.cs,19,52,1,EventArgs e
174,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSTypeRef -> CSTypeRef"" does not have any transformation rule to apply.",CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,19,17,1,WindowsFormsApplicationBase
176,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,19,17,1,WindowsFormsApplicationBase
178,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSTypeRef -> CSTypeRef"" does not have any transformation rule to apply.",CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,21,35,1,WindowsFormsApplicationBase
180,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSTypeRef,CSTypeRef,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,21,35,1,WindowsFormsApplicationBase
182,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSParam -> CSParam"" does not have any transformation rule to apply.",CSParam,CSParam,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,21,35,1,WindowsFormsApplicationBase App
184,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSParam,CSParam,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,21,35,1,WindowsFormsApplicationBase App
186,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSSingleAccess -> CSExpr"" does not have any transformation rule to apply.",CSSingleAccess,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,23,13,1,"            m_App"
188,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSSingleAccess,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,23,13,1,"            m_App"
190,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSSingleAccess -> CSExpr"" does not have any transformation rule to apply.",CSSingleAccess,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,23,21,1,App
192,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSSingleAccess,CSExpr,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,23,21,1,App
194,TC0004,Source,Simple,Info,DataType,"Error, no transformation rule was found to apply to the source code","This source code ""CSAssign -> CSCall"" does not have any transformation rule to apply.",CSAssign,CSCall,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,23,13,1,"            m_App = App"
196,WFMAP0002,Source,Simple,Warning,Unit,WFMAP0002: Transformation rule not foud for the type {0},,CSAssign,CSCall,F:\HelloWorldVBTest\MyHelpersNet461\ApplicationBase.cs,23,13,1,"            m_App = App"
